_id,birthDate,birthPlace,career_AST,career_FG%,career_FG3%,career_FT%,career_G,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,college,draft_pick,draft_round,draft_team,draft_year,height,highSchool,name,position,shoots,weight
crossch01,4-Jul-23,"Luzerne, Pennsylvania",1.5,31.8,,71.1,147,-,4.7,-,3.7,,University of Pennsylvania,6th overall,1st round,Philadelphia Warriors,1947,1-Jun,"Luzerne in Luzerne, Pennsylvania",Chink Crossin,Guard,Right,165lb
ehlerbu01,10-Mar-23,"Joliet, Illinois",1.8,28.6,,61.8,99,-,8.1,-,3,,Purdue University,3rd overall,1st round,Boston Celtics,1947,3-Jun,"South Bend Central in South Bend, Indiana",Bulbs Ehlers,Forward/Guard,Right,198lb
holubdi01,29-Oct-21,"Racine, Wisconsin",0.8,29.5,,63.3,48,-,10.5,-,4.2,,Long Island University,5th overall,1st round,New York Knicks,1947,6-Jun,,Dick Holub,Center,Right,205lb
hustopa01,2-Jun-25,,0.6,23.7,,69.7,46,-,3.6,-,1.2,,Ohio State University,8th overall,1st round,Chicago Stags,1947,3-Jun,"Xenia Central in Xenia, Ohio",Paul Huston,Forward,Right,175lb
okeefdi01,29-Sep-23,"San Francisco, California",0.9,27.2,,64,172,-,5.2,2.2,1.7,,Santa Clara University,9th overall,1st round,Washington Capitols,1947,2-Jun,,Dick O'Keefe,Guard/Forward,Right,185lb
pollaji01,9-Jul-22,"Oakland, California",3.2,36,,75,438,15.5,13.2,7.8,34.9,,Stanford University,and St. Louis Bombers,1947 BAA Draf,Chicago Stags,1947,4-Jun,"Oakland Technical in Oakland, California",Jim Pollard,Small Forward,Right,185lb
selbogl01,29-Mar-26,,1.8,19.6,,75.9,13,-,3.2,-,-0.2,,University of Wisconsin,2nd overall,1st round,Toronto Huskies,1947,3-Jun,,Glen Selbo,Guard/Forward,Right,196lb
budkowa01,30-Jul-25,"Kearney, New Jersey",1.9,34.2,,75.7,253,10.2,8.1,5.4,13.7,,Columbia University,6th overall,1st round,Baltimore Bullets,1948,5-Jun,"Trinity School in New York, New York",Walt Budko,Power Forward,Right,220lb
gallaha01,26-Apr-27,"Roxana, Illinois",1.8,39.8,,77.3,682,21.5,13,11.9,78.4,,Truman State University,and New York Knicks,1947 BAA Draf,Baltimore Bullets,1948,6-Jun,"Roxana in Roxana, Illinois",Harry Gallatin,Power Forward and Small Forward,Right,210lb
mikaned01,20-Oct-25,,0.9,32,,75.6,323,10.6,6.7,5.5,3.6,,DePaul University,5th overall,1st round,Chicago Stags,1948,8-Jun,"Joliet Catholic in Joliet, Illinois",Ed Mikan,Center,Right,230lb
nichoja01,9-Apr-26,,1.9,36.8,,75.2,505,11.9,10.4,6.9,24.8,,University of Washington,12th overall,1st round,Washington Capitols,1948,7-Jun,"Everett in Everett, Washington",Jack Nichols,Power Forward,Left,222lb
raydo01,8-Jul-21,"Mt. Juliet, Tennessee",1,32.3,,69.8,61,-,6,-,1.3,,Western Kentucky University,11th overall,1st round,Philadelphia Warriors,1948,5-Jun,,Don Ray,Forward/Center,Right,190lb
schaydo01,19-May-28,"New York, New York",3.1,38,,84.9,996,22,18.5,12.1,142.4,,New York University,4th overall,1st round,New York Knicks,1948,8-Jun,"DeWitt Clinton in Bronx, New York",Dolph Schayes,Power Forward and Center,Right,220lb
tonkoan01,1-Nov-22,"Barrackville, West Virginia",0.6,26.8,,66.7,17,-,2.6,-,-0.4,,Marshall University,1st overall,1st round,Providence Steamrollers,1948,1-Jun,"Union in Benwood, West Virginia",Andy Tonkovich,Guard,Right,185lb
wanzebo01,4-Jun-21,"Brooklyn, New York",3.2,39.3,,80.2,568,17.2,12.2,4.5,63.9,,Seton Hall University,10th overall,1st round,Rochester Royals,1948,Jun-00,"Benjamin Franklin in New York, New York",Bobby Wanzer,Point Guard and Shooting Guard,Right,170lb
williwa01,26-Jun-23,"Colfax, Indiana",1.5,23.7,,75,53,-,4.1,-,1.8,,Indiana University,8th overall,1st round,Fort Wayne Pistons,1948,4-Jun,"Colfax in Colfax, Indiana",Ward Williams,Forward,Right,195lb
gardnve01,14-May-25,"Afton, Wyoming",1.6,34.4,,74.8,151,11.1,8.9,4,7.4,,University of Utah,5th overall,1st round,Philadelphia Warriors,1949,5-Jun,"Star Valley in Afton, Wyoming",Vern Gardner,Shooting Guard,Right,200lb
grozaal01,7-Oct-26,"Martins Ferry, Ohio",2.4,47.4,,75.6,130,-,22.5,10.7,35.9,,University of Kentucky,2nd overall,1st round,Indianapolis Olympians,1949,7-Jun,"Martins Ferry in Martins Ferry, Ohio",Alex Groza,Center,Right,218lb
harribo01,16-Mar-27,"Linden, Tennessee",1.5,38.5,,62.8,325,12.6,6.8,6.9,15.7,,Oklahoma State University,3rd overall,1st round,Fort Wayne Pistons,1949,7-Jun,"Battleground Academy in Franklin, Tennessee",Bob Harris,Power Forward and Small Forward,Right,195lb
joneswa01,14-Jul-26,"Harlan, Kentucky",3.1,35.5,,75.7,140,13.5,10.2,5.1,8.8,,University of Kentucky,8th overall,1st round,Washington Capitols,1949,4-Jun,"Harlan in Harlan, Kentucky",Wah Wah Jones,Power Forward,Right,225lb
kerrija01,30-Jan-25,"Chicago, Illinois",2.5,36.3,,66.2,271,14.6,7.6,6.3,17.8,,Loyola University of Chicago,9th overall,1st round,Chicago Stags,1949,6-Jun,"De La Salle Institute in Chicago, Illinois",Jack Kerris,Power Forward,Right,215lb
lavelto01,11-Jul-26,"Somerville, Massachusetts",0.7,36.7,,85.3,86,-,6.9,2,4.7,,Yale University,4th overall,1st round,Boston Celtics,1949,3-Jun,"Somerville in Somerville, Massachusetts",Tony Lavelli,Forward,Right,185lb
livinro01,9-Oct-25,,1.9,28.6,,69.2,117,-,6.3,4.7,2.4,,University of Wyoming,6th overall,1st round,Baltimore Bullets,1949,10-Jun,,Ron Livingstone,Center,Right,220lb
mcguidi01,25-Jan-26,"Huntington, New York",5.7,38.9,,64.4,738,15.5,8,4.2,50.9,,St. John's University,7th overall,1st round,New York Knicks,1949,Jun-00,"La Salle Academy in New York, New York",Dick McGuire,Point Guard,Right,180lb
saulpe01,16-Feb-24,New Jersey,1.6,36,,73.9,384,7.5,5.6,2,9.8,,Seton Hall University,10th overall,1st round,Rochester Royals,1949,2-Jun,"Seton Hall Preparatory School in West Orange, New Jersey",Pep Saul,Shooting Guard,Right,185lb
shannho01,10-Jun-23,"Manhattan, Kansas",2.5,35.5,,79.5,122,-,10.8,-,6.3,,Kansas State University,1st overall,1st round,Providence Steamrollers,1949,2-Jun,,Howie Shannon,Guard/Forward,Right,175lb
cousybo01,9-Aug-28,"New York, New York",7.5,37.5,,80.3,924,19.8,18.4,5.2,91.1,,College of the Holy Cross,3rd overall,1st round,Tri-Cities Blackhawks,1950,1-Jun,"Andrew Jackson in Cambria Heights, New York",Bob Cousy,Point Guard,Right,175lb
foustla01,24-Jun-28,"Painesville, Ohio",1.7,40.5,,74.1,817,18.4,13.7,9.8,74.3,,La Salle University,5th overall,1st round,Chicago Stags,1950,9-Jun,"South Catholic in Philadelphia, Pennsylvania",Larry Foust,Center,Right,215lb
lavoybo01,29-Jun-26,"Aurora, Illinois",1.5,38.4,,70.7,264,15,8.2,6.2,15.9,,Western Kentucky University,8th overall,1st round,Indianapolis Olympians,1950,7-Jun,"East Aurora in Aurora, Illinois",Bob Lavoy,Power Forward,Right,185lb
lofgrdo01,8-Nov-29,"Oakland, California",1,32.9,,69.2,209,11.7,6.1,3.9,3.1,,University of San Francisco,11th overall,1st round,Syracuse Nationals,1950,5-Jun,"Oakland in Oakland, California",Don Lofgran,Small Forward,Right,200lb
mcnamjo01,24-Sep-26,,0.5,29.8,,62,118,-,2.4,2,-0.5,,University of San Francisco,9th overall,1st round,Rochester Royals,1950,6-Jun,"Saint Ignatius in San Francisco, California",Joe McNamee,Small Forward,Right,210lb
osheake01,10-Jul-25,"San Francisco, California",2.1,33.7,,68,174,10.9,5.2,2.3,3.8,,University of Notre Dame,10th overall,1st round,Minneapolis Lakers,1950,2-Jun,"Saint Ignatius in San Francisco, California",Kevin O'Shea,Shooting Guard and Point Guard,Right,175lb
rehfedo01,7-Jan-27,"Chicago, Illinois",1.2,37,,75.8,98,15.6,7.1,5,3.5,,University of Wisconsin,2nd overall,1st round,Baltimore Bullets,1950,7-Jun,"Amundsen in Chicago, Illinois",Don Rehfeldt,Small Forward,Left,210lb
schnidi01,27-May-28,"Kelleys Island, Ohio",1.3,37.9,,82.5,364,13.8,8.3,3.8,22,,Ohio State University,4th overall,1st round,Washington Capitols,1950,5-Jun,"Sandusky in Sandusky, Ohio",Dick Schnittker,Small Forward,Right,200lb
sharech01,14-Mar-27,,1.4,40,,69.3,596,17.1,8.3,8.4,40.9,,Bowling Green State University,1st overall,1st round,Boston Celtics,1950,11-Jun,"Western Hills in Cincinnati, Ohio",Chuck Share,Center,Right,235lb
yardlge01,3-Nov-28,"Hollywood, California",1.7,42.2,,78,472,20.5,19.2,8.9,58.5,,Stanford University,7th overall,1st round,Fort Wayne Pistons,1950,5-Jun,"Newport Harbor in Newport Beach, California",George Yardley,Small Forward,Right,190lb
barreer01,27-Aug-29,"Pratt, Kansas",1.7,36.9,,74.8,131,9.2,4.9,2.6,0.8,,Kansas State University,7th overall,1st round,Boston Celtics,1951,3-Jun,"Wellington in Wellington, Kansas",Ernie Barrett,Shooting Guard,Right,180lb
behnkel01,3-Feb-29,"Rockford, Illinois",1,27.3,,57.1,4,7.8,4,4.3,-0.1,,Bradley University,37th overall,4th round,Rochester Royals,1951,7-Jun,,Elmer Behnke,Center,Right,210lb
dempsge01,19-Jul-29,"Philadelphia, Pennsylvania",2.3,40.7,,66.1,315,12.3,5,3.6,10.8,,King's College,68th overall,7th round,Philadelphia Warriors,1951,2-Jun,"Merchantville in Merchantville, New Jersey",George Dempsey,Point Guard and Shooting Guard,Right,190lb
diutefr01,9-Jan-29,,0.6,9.5,,58.3,7,-2.3,1.6,1.9,-0.3,,St. Bonaventure University,27th overall,3rd round,Rochester Royals,1951,3-Jun,,Fred Diute,Shooting Guard,Right,210lb
fendlja01,12-Jun-29,,0.9,34.4,,74.2,103,10.2,2.8,1.2,2.1,,Northwestern University,23rd overall,3rd round,Fort Wayne Pistons,1951,Jun-00,"South Shore in Chicago, Illinois",Jake Fendley,Point Guard and Shooting Guard,Right,180lb
govedba01,17-Apr-28,,1,31.6,,67.6,23,7.1,3.3,0.8,0.2,,DePaul University,24th overall,3rd round,Syracuse Nationals,1951,11-May,"Lane Technical in Chicago, Illinois",Bato Govedarica,Point Guard,Right,185lb
hitchle01,16-Jul-29,"Griggsville, Illinois",1.2,37.6,,67.4,414,10.4,5,5.3,11.5,,Kansas State University,19th overall,2nd round,Minneapolis Lakers,1951,8-Jun,,Lew Hitch,Power Forward,Right,200lb
hutchme01,22-Nov-28,"Sacramento, California",3,38.9,,67.3,437,14.7,11.1,9.6,27.9,,Brigham Young University,2nd overall,1st round,Tri-Cities Blackhawks,1951,6-Jun,,Mel Hutchins,Power Forward and Center,Right,200lb
kearnmi01,18-Jun-29,"Trenton, New Jersey",0.8,0,,25,6,1,0.2,0.5,-0.1,,Princeton University,48th overall,5th round,Philadelphia Warriors,1951,2-Jun,,Mike Kearns,Point Guard,Right,178lb
kileyja01,5-Jan-29,,1.2,22.7,,57.1,53,3.4,2.3,1,-1.8,,Syracuse University,13th overall,2nd round,Fort Wayne Pistons,1951,1-Jun,,Jack Kiley,Shooting Guard,Right,170lb
luisiji01,2-Nov-28,,1.1,32.6,,65.9,31,7.6,2.9,0.8,0,,St. Francis College,56th overall,6th round,Boston Celtics,1951,2-Jun,,Jim Luisi,Point Guard,Right,180lb
mcconjo01,9-Apr-30,"Sailes, Louisiana",0.7,13.8,,42.9,11,1.7,1.3,1.8,-0.5,,Northwestern State University,5th overall,1st round,Syracuse Nationals,1951,5-Jun,,John McConathy,Forward,Right,195lb
mcguial01,7-Sep-28,"New York, New York",1.9,37.9,,55.1,191,11.1,4,2.2,5.5,,St. John's University,55th overall,6th round,New York Knicks,1951,2-Jun,"St. John's Preparatory School in Brooklyn, New York",Alfred McGuire,Point Guard,Right,180lb
paytome01,16-Jul-26,"Martinsville, Indiana",1.1,36.3,,74.6,111,14.3,5.4,3.6,2.5,,Tulane University,18th overall,2nd round,Philadelphia Warriors,1951,4-Jun,,Mel Payton,Small Forward,Right,185lb
phelaja02,19-Mar-29,"Philadelphia, Pennsylvania",0.5,0,,50,4,-4.8,0.8,1.3,-0.1,,La Salle University,77th overall,8th round,Philadelphia Warriors,1951,1-Jun,"La Salle College in Philadelphia, Pennsylvania",James Phelan,Guard,Right,175lb
ragelra01,10-Dec-28,,0.6,26,,62.1,51,6.1,1.3,1.5,-0.4,,Northwestern University,17th overall,2nd round,Rochester Royals,1951,4-Jun,"Washington in East Chicago, Indiana",Ray Ragelis,Small Forward,Right,205lb
ranzisa01,23-Jun-28,"Gary, Indiana",0.6,33.3,,70.3,39,9.5,2.2,1,0.2,,North Carolina State University,8th overall,1st round,Rochester Royals,1951,1-Jun,"Emerson in Gary, Indiana",Sam Ranzino,Shooting Guard,Right,185lb
rennijo01,11-Aug-29,,0.2,22.2,,33.3,6,-1.3,1.8,1.5,-0.2,,Drake University,51st overall,6th round,Tri-Cities Blackhawks,1951,2-Jun,"East Aurora in Aurora, Illinois",John Rennicke,Guard,Right,185lb
savagdo01,9-Apr-28,,0.8,24.2,,68.6,17,7.2,3.2,1.8,-0.1,,LeMoyne College,14th overall,2nd round,Syracuse Nationals,1951,3-Jun,"Manlius in Manlius, New York",Don Savage,Forward/Guard,Right,205lb
sinicze01,25-Jan-29,"New York, New York",0.3,25,,37.5,12,-3.4,1.1,0.2,-0.2,,Niagara University,4th overall,1st round,Fort Wayne Pistons,1951,10-May,"Benjamin Franklin in New York, New York",Zeke Sinicola,Guard,Right,165lb
slaugji01,13-May-28,,0.9,32.1,,60.3,28,10.1,5.3,5.3,-0.1,,University of South Carolina,31st overall,4th round,Tri-Cities Blackhawks,1951,11-Jun,,Jim Slaughter,Center,Right,210lb
smithed01,5-Jul-29,"West Jefferson, Ohio",0.8,28.6,,53.8,12,8.5,2.9,2.7,-0.3,,Harvard University,6th overall,1st round,New York Knicks,1951,6-Jun,,Ed Smith,Small Forward,Right,180lb
sundedo01,20-Dec-29,"Roselle, Illinois",2,32.6,,73.2,113,11.5,7.7,2.5,2.7,,University of Illinois at Urbana-Champaign,9th overall,1st round,Philadelphia Warriors,1951,1-Jun,"Elgin in Elgin, Illinois",Don Sunderlage,Shooting Guard,Right,180lb
toshebi01,2-Jun-26,"Gary, Indiana",3.3,31.5,,79.3,203,11.2,9.2,3,5.2,,Indiana University,32nd overall,4th round,Indianapolis Olympians,1951,1-Jun,"Froebel in Gary, Indiana",Bill Tosheff,Point Guard,Right,175lb
baechji01,9-Dec-27,"McKeesport, Pennsylvania",2.1,38.8,,78.3,321,13.1,9.7,3.1,14.8,,Eastern Kentucky University,2nd overall,1st round,Baltimore Bullets,1952,4-Jun,"Moon in Coraopolis, Pennsylvania",Jim Baechtold,Small Forward,Right,205lb
groatdi01,4-Nov-30,"Wilkinsburg, Pennsylvania",2.7,36.8,,79,26,18.2,11.9,3.3,2,,Duke University,3rd overall,1st round,Fort Wayne Pistons,1952,11-May,"Swissvale in Swissvale, Pennsylvania",Dick Groat,Point Guard,Right,180lb
lochmbo01,5-Jun-27,,0.8,32.2,,60.7,62,9,3.7,2.6,0.5,,University of Louisville,7th overall,1st round,Syracuse Nationals,1952,5-Jun,"Elberfeld in Elberfeld, Indiana",Bob Lochmueller,Small Forward,Right,185lb
lovelcl01,7-Sep-29,"Petersburg, Indiana",1.6,44.3,,75.7,704,21.6,17,9.5,70.6,,University of Kansas,9th overall,1st round,Minneapolis Lakers,1952,9-Jun,"Garfield in Terre Haute, Indiana",Clyde Lovellette,Center,Right,234lb
polsora01,26-Oct-29,,0.5,36.3,,63.5,49,11,3.9,4.3,0.8,,Whitworth,5th overall,1st round,New York Knicks,1952,7-Jun,,Ralph Polson,Power Forward,Right,200lb
workmma01,10-Mar-30,"Charleston, West Virginia",0.6,33.1,,61.8,79,7.8,4.9,2.9,-1.2,,West Virginia University,1st overall,1st round,Milwaukee Hawks,1952,9-Jun,"Charleston in Charleston, West Virginia",Mark Workman,Power Forward,Right,215lb
felixra01,10-Dec-30,"New York, New York",0.7,41.2,,67.8,637,16.9,10.9,8.9,39.6,,Long Island University,1st overall,1st round,Baltimore Bullets,1953,11-Jun,"Metropolitan in New York, New York",Ray Felix,Center,Right,220lb
fritsji01,10-Dec-31,,0.9,30.9,,73.8,84,7.7,3.9,3,-1.6,,Hamline University,7th overall,1st round,Minneapolis Lakers,1953,8-Jun,"Humboldt in Saint Paul, Minnesota",Jim Fritsche,Power Forward,Right,210lb
houbrbo01,12-Mar-32,"Vancouver, Canada",1.8,40.4,,72.1,281,13.6,9.3,5.5,14.3,,University of Washington,2nd overall,1st round,Milwaukee Hawks,1953,7-Jun,"Queen Anne in Seattle, Washington",Bob Houbregs,Center and Power Forward,Right,210lb
molinja01,31-Oct-31,"New York, New York",1.6,39,,75.9,32,19.2,11.6,7.1,3.6,,Columbia University,3rd overall,1st round,Fort Wayne Pistons,1953,6-Jun,"Stuyvesant in New York, New York",Jack Molinas,Small Forward,Right,200lb
nealji01,21-May-30,,0.4,30.1,,60.1,80,8.1,4.4,3.8,0.1,,Wofford College,6th overall,1st round,Syracuse Nationals,1953,11-Jun,,Jim Neal,Center,Right,235lb
peterbo01,25-Jan-32,"San Mateo, California",0.8,38.6,,66.9,103,12.1,4.7,3.8,1.5,,University of Oregon,and Baltimore Bullets,1952 NBA Draf,Baltimore Bullets,1953,5-Jun,,Bob Peterson,Small Forward and Power Forward,Right,210lb
ramsefr01,13-Jul-31,"Corydon, Kentucky",1.8,39.9,,80.4,623,15.5,13.4,5.5,49.2,,University of Kentucky,5th overall,1st round,Boston Celtics,1953,3-Jun,"Madisonville in Madisonville, Kentucky",Frank Ramsey,Shooting Guard and Small Forward,Right,190lb
reganri01,30-Nov-30,"Newark, New Jersey",2.9,34.4,,71.7,215,9.4,8.3,2.6,3.5,,Seton Hall University,4th overall,1st round,Rochester Royals,1953,2-Jun,"West Side in Newark, New Jersey",Richie Regan,Point Guard and Shooting Guard,Right,180lb
anieldo01,1-Nov-30,,0,0,,75,1,1.8,3,2,-0.1,,Missouri State University,26th overall,3rd round,New York Knicks,1954,7-Jun,,Don Anielak,Forward,Right,190lb
biancal01,26-Mar-32,"Long Island City, New York",2.2,37.4,,70.7,687,9.6,8.1,2.5,8.2,,Bowling Green State University,18th overall,2nd round,Minneapolis Lakers,1954,3-Jun,"Long Island City HS in Long Island City, New York",Al Bianchi,Point Guard and Shooting Guard,Right,185lb
bielkdo01,,,0.1,55.6,,57.1,7,12.2,2,1.3,0.2,,Valparaiso University,67th overall,8th round,Fort Wayne Pistons,1954,7-Jun,"Wilson in Saint Paul, Minnesota",Don Bielke,Center,Right,240lb
carnebo01,3-Aug-32,,0.8,37.5,,52.5,19,8.7,3.6,2.4,0.3,,Bradley University,47th overall,6th round,Milwaukee Hawks,1954,3-Jun,"West Aurora in Aurora, Illinois",Bob Carney,Shooting Guard,Right,170lb
costela01,2-Jul-31,"Minoa, New York",4.6,43.8,,84.1,706,14.5,12.2,3.8,62.7,,Niagara University,12th overall,2nd round,Philadelphia Warriors,1954,1-Jun,"Minoa in Minoa, New York",Larry Costello,Point Guard,Right,186lb
davisre01,22-Apr-32,,0.3,0,,100,3,-3.3,0.7,1.3,-0.1,,St. John's University,52nd overall,6th round,Rochester Royals,1954,7-Jun,"Manhattan College High School in New York, New York",Red Davis,Center,Right,220lb
eriasbo01,30-Jul-32,"Astoria, New York",1.4,34.7,,63.8,18,8.9,8.2,4.6,-0.1,,Niagara University,43rd overall,5th round,Rochester Royals,1954,3-Jun,"Automotive in Brooklyn, New York",Bo Erias,Small Forward,Right,220lb
farledi01,13-Apr-32,,1.8,38.4,,70,211,12,6.5,2.5,8.2,,Indiana University,15th overall,2nd round,Syracuse Nationals,1954,4-Jun,"Winslow in Winslow, Indiana",Dick Farley,Shooting Guard,Right,190lb
garmadi01,29-Oct-32,"Hibbing, Minnesota",2.6,40.3,,78.7,421,14.2,13.3,4.2,25.6,,University of Minnesota,80th overall,9th round,Minneapolis Lakers,1954,3-Jun,"Hibbing in Hibbing, Minnesota",Dick Garmaker,Point Guard and Shooting Guard,Right,200lb
gueriri01,29-May-32,"New York, New York",5,41.6,,78,848,17.3,17.3,5,69.2,,Iona College,17th overall,2nd round,New York Knicks,1954,4-Jun,"Mount Saint Michael in Bronx, New York",Richie Guerin,Shooting Guard,Right,195lb
kalafed01,13-Oct-32,,1.5,34.5,,68.8,209,11.5,7.1,5.7,5.3,,University of Minnesota,9th overall,1st round,Minneapolis Lakers,1954,6-Jun,"Anaconda in Anaconda, Montana",Ed Kalafat,Small Forward and Power Forward,Right,245lb
kerrre01,17-Jul-32,"Chicago, Illinois",2.2,41.8,,72.3,905,16.8,13.8,11.2,61.8,,University of Illinois at Urbana-Champaign,6th overall,1st round,Syracuse Nationals,1954,9-Jun,"Tilden in Chicago, Illinois",Red Kerr,Center,Right,230lb
leonasl01,17-Jul-32,"Terre Haute, Indiana",3.3,34.9,,74.5,426,10.2,9.9,2.9,3.8,,Indiana University,10th overall,2nd round,Baltimore Bullets,1954,3-Jun,"Gerstmeyer in Terre Haute, Indiana",Slick Leonard,Point Guard,Right,185lb
marshto01,6-Jan-31,,1.1,38.8,,70.9,168,13.4,5.7,2.9,4.1,,Western Kentucky University,7th overall,1st round,Rochester Royals,1954,4-Jun,"Mount Juliet in Mount Juliet, Tennessee",Tom Marshall,Small Forward,Right,215lb
martiph01,2-Apr-28,,0.9,26.3,,100,7,6.6,1.7,1.4,-0.1,,University of Toledo,29th overall,4th round,Milwaukee Hawks,1954,3-Jun,,Phil Martin,Small Forward,Right,190lb
morrire01,26-Apr-32,,0.9,39.6,,57.2,155,10.6,3.6,5.3,2.2,,University of Idaho,14th overall,2nd round,Boston Celtics,1954,8-Jun,"Walla Walla in Walla Walla, Washington",Red Morrison,Center,Right,220lb
nachabo01,6-Dec-33,"New York, New York",0.5,30,,61.5,6,12.2,3.3,3.2,0,,New York University,16th overall,2nd round,Rochester Royals,1954,6-Jun,"Thomas Jefferson in Brooklyn, New York",Boris Nachamkin,Forward,Right,210lb
noblech01,24-Jul-31,,3.3,34.6,,73.1,411,9.5,8,2.6,-0.9,,University of Louisville,30th overall,4th round,Philadelphia Warriors,1954,4-Jun,,Chuck Noble,Shooting Guard,Right,190lb
palazto01,8-Aug-32,"Union City, New Jersey",0.7,38.6,,73,324,15.2,7.4,3.4,6.5,,College of the Holy Cross,5th overall,1st round,Boston Celtics,1954,4-Jun,"Union Hill in Union City, New Jersey",Togo Palazzi,Small Forward and Shooting Guard,Right,205lb
paxsoji01,19-Dec-32,"Pennville, Indiana",1.6,32.3,,72.7,138,10.6,8,4.5,2.8,,University of Dayton,95th overall,11th round,Rochester Royals,1954,6-Jun,"Catholic Central in Springfield, Ohio",Jim Paxson,Shooting Guard and Small Forward,Right,200lb
pettibo01,12-Dec-32,"Baton Rouge, Louisiana",3,43.6,,76.1,792,25.3,26.4,16.2,136,,Louisiana State University,2nd overall,1st round,Milwaukee Hawks,1954,9-Jun,"Baton Rouge in Baton Rouge, Louisiana",Bob Pettit,Power Forward and Center,Right,205lb
rosendi01,20-Jan-30,,2,36.2,,70.2,85,12.9,6.8,4.1,1.9,,University of Notre Dame,4th overall,1st round,Fort Wayne Pistons,1954,5-Jun,"McBride in St. Louis, Missouri",Dick Rosenthal,Small Forward,Right,205lb
selvyfr01,9-Nov-32,"Corbin, Kentucky",2.8,39.4,,72.8,565,9.8,10.8,3.7,17.9,,Furman University,1st overall,1st round,Baltimore Bullets,1954,3-Jun,"Corbin in Corbin, Kentucky",Frank Selvy,Shooting Guard and Small Forward,Right,180lb
shuege01,18-Dec-31,"Baltimore, Maryland",3.7,39.6,,80.6,699,13.7,14.4,4.1,38.9,,University of Maryland,3rd overall,1st round,Philadelphia Warriors,1954,2-Jun,"Towson Catholic in Towson, Maryland",Gene Shue,Point Guard and Shooting Guard,Right,170lb
spoelar01,11-Sep-32,,1,39.1,,69.3,278,11.9,7.2,4.6,8.6,,Western Kentucky University,34th overall,4th round,Rochester Royals,1954,9-Jun,"Godwin Heights in Grand Rapids, Michigan",Art Spoelstra,Center,Right,220lb
tuckeji01,11-Dec-32,"Paris, Kentucky",0.5,34.9,,76.2,99,8.5,4.1,3.5,1.3,,Duquesne University,24th overall,3rd round,Syracuse Nationals,1954,7-Jun,,Jim Tucker,Power Forward,Right,185lb
turneja01,29-Jun-30,"Bedford, Indiana",1.2,36,,78.9,65,10.5,4.3,2.4,0.6,,Western Kentucky University,8th overall,1st round,New York Knicks,1954,4-Jun,,Jack Turner,Small Forward,Right,170lb
arnelje01,30-Dec-33,"New Rochelle, New York",0.6,31.7,,62.3,31,12.6,4.7,5.5,0,,Pennsylvania State University,13th overall,2nd round,Fort Wayne Pistons,1955,5-Jun,"New Rochelle in New Rochelle, New York",Jesse Arnelle,Power Forward,Right,220lb
conlied01,2-Sep-33,,2,37,,75,486,13,10.1,4.8,14.2,,Fordham University,5th overall,1st round,Syracuse Nationals,1955,5-Jun,"Saint Michael's in Brooklyn, New York",Ed Conlin,Small Forward and Shooting Guard,Right,200lb
devlico01,21-Dec-31,,2.1,36.6,,74.2,210,11.7,7.1,2.1,3.8,,George Washington University,9th overall,2nd round,Philadelphia Warriors,1955,5-Jun,"Central in Newark, New Jersey",Corky Devlin,Shooting Guard,Right,195lb
ferraal01,6-Jul-33,"New York, New York",2.5,36.8,,76,371,9.4,6.8,2.2,8.9,,Michigan State University,15th overall,3rd round,St. Louis Hawks,1955,4-Jun,"Brooklyn Technical in Brooklyn, New York",Al Ferrari,Small Forward and Shooting Guard,Right,190lb
flemied01,25-Jul-33,,1.9,35.9,,73.1,292,14.1,8.6,5.2,9.8,,Niagara University,16th overall,3rd round,Rochester Royals,1955,3-Jun,"Westinghouse in Pittsburgh, Pennsylvania",Ed Fleming,Shooting Guard and Small Forward,Right,189lb
hemridi01,29-Aug-33,"Jonesville, North Carolina",0.7,37.7,,66.9,138,13.4,6.3,5.1,5.3,,Wake Forest University,10th overall,2nd round,Boston Celtics,1955,6-Jun,"Jonesville in Jonesville, North Carolina",Dick Hemric,Power Forward,Right,220lb
horanjo01,24-Nov-32,,0.1,28.6,,90.9,19,1.9,1.8,0.5,-0.1,,University of Dayton,6th overall,1st round,Fort Wayne Pistons,1955,8-Jun,"Saint Thomas Military Academy in Saint Paul, Minnesota",Johnny Horan,Forward,Right,190lb
loscuji01,4-Feb-30,"San Francisco, California",0.7,34.5,,65.3,511,8.3,6.2,5.6,3.4,,University of Oregon,3rd overall,1st round,Boston Celtics,1955,5-Jun,"Palo Alto in Palo Alto, California",Jim Loscutoff,Small Forward,Right,220lb
mencech01,21-Apr-33,"Phillips, Wisconsin",2.4,34.1,,76.5,141,11.7,7,2.5,1.9,,University of Minnesota,12th overall,2nd round,Minneapolis Lakers,1955,Jun-00,"Eau Claire in Eau Claire, Wisconsin",Chuck Mencel,Point Guard,Right,168lb
rickedi01,4-Dec-33,"Pottstown, Pennsylvania",2.1,32.8,,69.2,212,9.6,9.3,6.3,2.1,,Duquesne University,1st overall,1st round,St. Louis Hawks,1955,7-Jun,"Pottstown in Pottstown, Pennsylvania",Dick Ricketts,Center and Power Forward,Right,215lb
schafbo01,,,1,29.8,,77.7,65,7,4.2,1.3,-0.7,,Villanova University,17th overall,3rd round,Philadelphia Warriors,1955,3-Jun,,Bob Schafer,Shooting Guard,Right,195lb
