_id,birthDate,birthPlace,career_AST,career_FG%,career_FG3%,career_FT%,career_G,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,college,draft_pick,draft_round,draft_team,draft_year,height,highSchool,name,position,shoots,weight
radfowa01,29-May-56,"Indianapolis, Indiana",1.1,47.4,,80,52,9.7,3.9,1.3,0.7,,Indiana University,27th overall,2nd round,Indiana Pacers,1978,3-Jun,,Wayne Radford,Shooting Guard,Right,205lb
richami01,11-Apr-55,"Lubbock, Texas",7,45.7,22,69,556,16.9,14.8,5.5,35.2,46.5,University of Montana,4th overall,1st round,New York Knicks,1978,5-Jun,"Manual in Denver, Colorado",Micheal Ray Richardson,Point Guard and Shooting Guard,Right,189lb
robeyri01,30-Jan-56,"Coral Gables, Florida",1.2,50.1,12.5,65,493,12.8,7.6,4.7,15.8,50.1,University of Kentucky,3rd overall,1st round,Indiana Pacers,1978,11-Jun,"Brother Martin in New Orleans, Louisiana",Rick Robey,Center,Right,230lb
robinja01,20-May-55,"Los Angeles, California",0.6,46.3,0,70,22,13.7,3.8,1.2,0.3,46.3,"University of Nevada, Las Vegas",67th overall,4th round,Houston Rockets,1978,6-Jun,"Morningside in Inglewood, California",Jackie Robinson,Small Forward,Right,210lb
ruddjo01,7-Aug-55,"DeRidder, Louisiana",0.6,44.4,,71,58,8.2,3.2,2.9,0.6,,McNeese State University,32nd overall,2nd round,New York Knicks,1978,7-Jun,"DeRidder in DeRidder, Louisiana",John Rudd,Small Forward,Right,230lb
sandefr01,23-Jan-57,"Dayton, Ohio",1,43,-,82.2,69,13.6,5.1,1.9,0.5,43,Southern University and A&M College,20th overall,1st round,San Antonio Spurs,1978,6-Jun,"Stivers in Dayton, Ohio",Frankie Sanders,Small Forward,Right,200lb
shortpu01,2-Jul-57,"Hattiesburg, Mississippi",2.5,47.4,28.2,82.4,842,16.9,17.3,4.3,51.1,47.9,Jackson State University,5th overall,1st round,Golden State Warriors,1978,7-Jun,"Blair in Hattiesburg, Mississippi",Purvis Short,Power Forward and Small Forward and Shooting Guard,Right,210lb
terryca01,22-Jun-56,"Lexington, North Carolina",1.3,43.4,0,67.2,94,10.4,3,2.4,1.5,43.4,Winston-Salem State University,104th overall,5th round,Los Angeles Lakers,1978,5-Jun,"Lexington in Lexington, North Carolina",Carlos Terry,Shooting Guard,Right,210lb
theusre01,13-Oct-57,"Inglewood, California",6.3,47.1,25.2,82.6,1026,16.6,18.5,3.3,66.9,47.9,"University of Nevada, Las Vegas",9th overall,1st round,Chicago Bulls,1978,7-Jun,"Inglewood in Inglewood, California",Reggie Theus,Shooting Guard and Point Guard,Right,190lb
thompmy01,30-Jan-55,"Nassau, Bahamas",2.3,50.4,8.3,65.5,935,15.7,13.7,7.4,59.1,50.4,University of Minnesota,1st overall,1st round,Portland Trail Blazers,1978,10-Jun,"Jackson in Miami, Florida",Mychal Thompson,Center and Power Forward,Right,226lb
